6 18
2
      1168
  2.9  41.0  64.5   2.0
  3.2  25.4  22.3   2.2
  5.0  28.4  91.4   2.2
  2.0  43.3  82.4   1.7
  4.4  37.7  79.6   2.4
  3.6  18.2  31.6   2.2
  3.1  26.0  35.9   1.5
  3.8  40.3  33.6   2.5
  3.6  17.2  28.8   2.3
  1.5  39.0  24.3   2.3
  4.8  48.7  91.5   2.3
  4.9  22.2  94.6   1.5
  0.2   0.2   0.3   0.3   0.2   0.4 
  165    85   110    31   101   150 
  136    54    40    18   146    50 
  117   130    35    90   107    25 
  151    16    91    35    19   104 
  120   132   119   118   148    88 
  157    88    58   153   161    46 
   93   134    88     8    36    77 
   66    63   164   104    12     9 
   20    37     5    63   172   173 
   49    17   126    72   143   154 
   45   157    60    30    39    33 
   72   132   124   128    90     1 
   11   107   139    14     9   174 
  145    76   172    89   134   144 
   97   147     7    79   145   126 
   17    91    24   179   167    15 
  131    39    37   164    77   130 
   38   137    66    10   172   134 
