6 12
2
      1023
  2.3  48.4  59.5   1.7
  2.0  42.2  91.3   2.5
  1.2  14.1  41.7   1.6
  4.5  23.7  43.9   2.0
  2.9  11.0  69.0   2.5
  4.7  10.2  50.9   1.5
  3.7  15.6  25.2   2.4
  2.1  43.9  21.7   1.7
  4.0  26.8  80.3   1.7
  4.3  24.3  13.0   1.9
  1.9  48.8  70.6   1.8
  4.9  23.6  15.3   1.6
  0.2   0.3   0.3   0.3   0.3   0.4 
   34   170    10    38   107   104 
  100   108    44   143    83    42 
   83   103   115    40   172   142 
   13    57     3   171    87    54 
   42   174    31   118   161   135 
  109    81   118    38     3    19 
   99    71    36    41   163    57 
  106    12   116   137   138    81 
   64   147   116   140   130    63 
   33     3    98    82    44    70 
  146   123    88   153   173   148 
   41    78   141   122   146    24 
