6 18
2
       949
  1.4  35.4  60.9   1.8 
  1.7  47.8  24.6   2.2 
  2.0  40.9  44.2   1.8 
  3.7  35.1  85.1   1.7 
  2.6  40.5   7.1   1.9 
  2.5  48.8   7.7   1.6 
  3.9  21.1  36.0   1.8 
  3.6  35.2  70.2   2.4 
  4.3  27.8  57.6   1.6 
  1.4  17.2  79.3   1.7 
  3.1  46.6   5.4   1.7 
  1.8  17.8  14.6   2.4 
  0.2   0.2   0.4   0.3   0.2   0.2 
  177   130   126   146   118    25 
  151   154   113     8    87   168 
  112   100   119    53    63    46 
   57    57    13    23    74    42 
   33   150    57    11   174    86 
  138   103   153    50    82     8 
  152    68    99    33    42   132 
  114    79     6    59   117   175 
  153   153    76   164    27     6 
  126   161    30    94     7   124 
  162   128   102    37   160     9 
    5   158   164    69   144   123 
  123    65   134     9   159    49 
   80    70    67    38    58    80 
    7     9    52   118    11    33 
  142   141    47    57   107   165 
  161   112   137    35   141   148 
  134   145   112   141   117   158 
