6 18
2
      1101
  4.3  15.5   6.2   2.3
  4.8  47.6  77.3   2.0
  3.4  49.7  11.9   2.0
  3.0  24.8  81.1   2.4
  2.4  19.8  53.9   2.2
  2.5  39.6  66.6   1.5
  2.8  37.1  59.3   2.5
  3.1  17.2  92.3   1.5
  3.7  37.2  69.6   2.4
  2.0  18.9  92.8   2.1
  3.2  44.6  73.4   2.4
  3.9  46.7  37.6   1.7
  0.2   0.3   0.2   0.3   0.4   0.3 
   99    31     3    56   100   105 
  151   165    93    23   140   139 
   38   175   153   170    57    10 
   48   174   126    29   105   164 
   11    92   108    94    11     1 
   86    42   144    82    10    99 
   87   107   167    39    24   147 
   73   104   118    71   116   113 
   58   140   177   172   175    60 
   56   160    14    36   155   169 
  154    23    15    60   118    78 
  148    80   169    16   113    17 
  101     8   110   173    50   155 
  114    93     4    48   125   160 
  112   125   117    94    72   103 
  130   131   159    68    35   127 
  118    34    45    20   110   149 
   57    44    15     4   149     1 
