6 12
2
      1352
  4.9  13.5  47.7   2.3
  2.4  43.1  27.1   2.1
  3.1  44.0  24.8   2.3
  2.2  51.0  19.1   1.6
  2.8  86.1  45.4   1.7
  2.9  36.8  19.0   2.2
  4.8  66.3  23.3   2.5
  4.2  79.0  49.9   2.1
  2.5  54.3  29.4   2.0
  3.8  85.8  18.6   2.0
  4.5  54.4  26.1   2.4
  3.8  87.8  29.8   2.0
  0.2   0.3   0.2   0.4   0.3   0.3 
   12   165    18    45   143   161 
   30   128   103    67    90    46 
   94    84    67   146   138   169 
   86   119   120   171    66   168 
  154    29   161    88   138    43 
   65   139    85     8    76   115 
  105   144   121   150   111   106 
    6    94    33    70   161   106 
  179    49    69    16   171   163 
   38    56    73     7    95   179 
   78   165     7    84   122    54 
    1   146    23   120   170    94 
