6 12
2
      1203
  4.9  13.8  89.7   2.3
  2.4  26.9  43.5   2.1
  3.1  27.3  38.4   2.3
  2.2  30.4  25.5   1.6
  2.8  46.0  84.7   1.7
  2.9  24.1  25.2   2.2
  4.8  37.2  34.9   2.5
  4.2  42.9  94.7   2.1
  2.5  31.9  48.5   2.0
  3.8  45.9  24.4   2.0
  4.5  32.0  41.3   2.4
  3.8  46.8  49.6   2.0
  0.2   0.3   0.2   0.4   0.3   0.3 
   12   165    18    45   143   161 
   30   128   103    67    90    46 
   94    84    67   146   138   169 
   86   119   120   171    66   168 
  154    29   161    88   138    43 
   65   139    85     8    76   115 
  105   144   121   150   111   106 
    6    94    33    70   161   106 
  179    49    69    16   171   163 
   38    56    73     7    95   179 
   78   165     7    84   122    54 
    1   146    23   120   170    94 
