6 18
2
      1159
  2.0  29.3  26.9   2.3
  4.9  76.7  20.8   1.8
  1.5  79.4  49.1   1.9
  1.8  45.5  23.0   2.4
  4.5  22.4  27.5   2.2
  1.5  39.2  29.7   2.2
  2.5  50.4  16.2   1.6
  2.2  74.2  41.5   2.0
  3.9  46.6  13.8   2.4
  2.8  41.0  45.0   2.1
  4.2  52.7  31.8   2.4
  3.9  73.4  46.6   2.2
  0.2   0.3   0.3   0.4   0.3   0.3 
   36   125   133   158    30   141 
  167   138    59    61   115   105 
   31   153   114   128    26    47 
  141   115   132    47    31     6 
  140    90    64   104    32   165 
   29   114    83   143   124     6 
  145   175     3   168   170    83 
  171   131    95   137    61    34 
    6   111    62     3   120    80 
  148    28    81   163    89    53 
   41   153    20   135   159   164 
   71    74    25    62   132   151 
  175    14    13    55   119   133 
   35   173     6   111    51    61 
   78     8    73    53   166    98 
  154    68   171   175   132   166 
   54   137   115   109    45    12 
  170   155    50   115     0   147 
