6 12
2
     12825
 22.3   3.6  39.7   1.8
 43.6   2.4  26.2   2.4
 47.3   2.7  46.1   2.3
 36.3   2.1  28.6   2.3
 67.1   4.0  34.2   2.4
 64.4   5.0  23.9   2.1
 58.0   4.8  17.9   2.4
 29.3   2.7  41.0   2.0
 49.3   2.9  17.4   2.4
 44.8   3.6  45.0   2.4
 47.4   3.7  48.8   1.7
 12.3   2.7  28.5   2.4
  0.2   0.3   0.4   0.4   0.2   0.3 
   83   147    23    68   156   168 
  176   155    11    41   140   105 
  150    92   154   132   170   119 
   60   141    65    30    54    51 
  103    44    76   179    64    85 
  173   156   167    36    77   120 
   18    34   122    87    45    57 
  119   100   131    96   179    71 
  175    68   142    17     1   112 
   95    37   109    19   172   108 
   94   138   148    88    70    86 
    3   171   116    60    55   145 
