6 18
2
     11827
 14.5   3.5  34.8   1.8
 19.9   4.8  18.7   2.2
 26.9   4.1  27.4   1.8
 65.3   3.5  45.6   1.7
 41.0   4.1  10.9   1.9
 37.8   4.9  11.2   1.6
 69.8   2.1  23.8   1.8
 63.0   3.5  39.0   2.4
 79.6   2.8  33.4   1.6
 13.7   1.7  43.0   1.7
 52.6   4.7  10.2   1.7
 22.5   1.8  14.3   2.4
  0.2   0.2   0.4   0.3   0.2   0.2 
  177   130   126   146   118    25 
  151   154   113     8    87   168 
  112   100   119    53    63    46 
   57    57    13    23    74    42 
   33   150    57    11   174    86 
  138   103   153    50    82     8 
  152    68    99    33    42   132 
  114    79     6    59   117   175 
  153   153    76   164    27     6 
  126   161    30    94     7   124 
  162   128   102    37   160     9 
    5   158   164    69   144   123 
  123    65   134     9   159    49 
   80    70    67    38    58    80 
    7     9    52   118    11    33 
  142   141    47    57   107   165 
  161   112   137    35   141   148 
  134   145   112   141   117   158 
