25 6
4
      3061
  1.9  78.7  34.2   1.7
  3.1  74.1  12.2   2.2
  1.8  59.8  21.2   1.6
  4.7  64.1  14.6   1.6
  3.7  45.4  11.9   2.3
  3.9  37.8  11.0   2.0
  3.0  94.9  28.6   2.1
  3.0   8.4  19.2   2.3
  2.7  17.6  42.7   1.6
  1.2  66.6  36.4   1.7
  2.7  94.1  19.1   2.3
  4.8  76.2  37.3   2.4
  1.9  38.0  39.0   2.3
  2.9  60.6  14.4   2.3
  4.5  37.6  34.6   2.4
  1.8  57.3  39.3   1.8
  1.4  43.1  43.0   1.5
  3.5  41.0  45.4   2.3
  3.5  19.6  49.9   2.3
  3.4  46.4  32.4   2.1
  4.4   5.4  14.1   1.7
  3.6   9.3  33.2   2.5
  1.7  77.4  14.9   2.5
  3.0   7.1  36.2   2.5
  1.8  91.2  47.5   2.5
  4.3  55.4  19.0   2.4
  2.5   8.7  20.0   1.9
  3.9  59.0  38.4   2.5
  2.8   6.1  48.4   1.8
  3.4  62.1  40.3   1.6
  3.1  65.6  48.8   1.7
  4.0  76.5  19.4   1.6
  2.3  45.2  34.0   2.4
  1.5  42.5  37.5   1.5
  3.6  35.6  36.0   1.7
  2.9  35.5  36.4   2.5
  1.5  26.4  28.6   2.1
  4.1  73.8  48.5   1.7
  3.8  19.5  28.1   1.8
  4.7  27.2  25.3   1.5
  2.7  25.1  13.3   2.2
  3.8  54.9  46.8   2.2
  1.2  45.0  13.6   2.3
  4.2  77.9  24.8   1.8
  4.0  43.5  14.2   2.3
  3.0   6.6  17.3   2.3
  2.8  14.9  13.6   2.0
  4.0  62.0  18.5   2.4
  4.9  36.8  24.4   2.1
  4.6  84.0  38.4   1.7
  4.6  60.6  48.9   2.1
  3.9  94.9  37.4   2.3
  4.5  53.7  39.1   1.8
  4.6  58.1  15.6   2.2
  1.5  25.1  45.5   1.9
  2.9  78.1  10.2   2.4
  2.1  16.5  32.2   2.1
  1.5  85.1  22.7   2.1
  4.8  35.6  12.2   1.9
  1.7  90.1  31.9   2.1
  4.8  94.7  19.3   1.7
  1.6  18.1  29.5   2.5
  2.9  13.7  33.2   2.3
  1.3  85.6  25.7   1.9
  3.6  76.9  31.3   1.8
  4.4  70.9  44.3   2.4
  1.8  15.9  44.4   1.5
  2.2  27.6  40.2   2.1
  2.9  52.2  42.1   1.9
  4.1  19.5  15.8   2.0
  4.2  81.5  49.4   1.8
  3.2   6.1  45.6   1.8
  2.3  55.0  47.4   1.6
  1.2  39.9  34.7   1.6
  1.8  71.5  45.6   2.1
  4.2  36.7  16.4   2.5
  4.2  14.7  27.3   2.0
  3.5  30.1  11.2   2.5
  4.8  10.8  42.2   1.8
  3.2  94.1  43.1   1.8
  4.9  36.7  23.6   2.5
  3.1   5.5  24.3   2.1
  2.7  24.1  28.1   2.5
  4.8  80.5  35.7   1.7
  2.9  16.8  41.4   2.0
  3.9  13.0  41.2   2.3
  4.5  16.9  10.9   2.4
  2.3  36.0  41.7   1.7
  3.9  54.7  15.5   2.3
  2.8  60.6  14.3   2.4
  1.9  68.3  28.2   1.8
  3.0  59.1  44.8   2.2
  3.9  86.5  25.4   2.5
  1.6  58.0  19.2   1.8
  4.0  55.6  33.0   1.8
  4.0   5.8  24.0   1.9
  4.4  93.4  31.8   2.1
  2.6  14.6  17.7   2.0
  4.6  63.3  23.9   1.5
  3.6   7.4  16.7   2.0
  0.2   0.2   0.3   0.3   0.3   0.3   0.2   0.2   0.3   0.2   0.2   0.3   0.4   0.3   0.2   0.3   0.3   0.2   0.4   0.3   0.2   0.3   0.2   0.2   0.2 
   84   178   130   174   130    49   142   137   164   179    20   164    21   107   178 
   11     2    18    13   106    57   167    96   110    37    61   104    51   177   152 
  174    86    34    10   107    17   100    75    77   143    77   136   161   169    81 
  117     4    11   147    30    45    86    85   125    90    51   152   115   105   172 
   95   110    46    28     2    63   171   140   137   126    38    44    28   137   178 
   65   115    46    12   122    94   165   166   155   175   157   164   152   112   116 
  172    68    16    35   120     0    39   165   127    68 
   77    16    84    26    53    92    25    55    42   108 
  124   171    49   144   150   133   128    69    75   179 
   87   131   120   146   170    58   179    55   147     6 
   87    84    21   143    13   172     7   121    70   139 
   90    34    17    58    19    15   176    19   179    93 
