6 12
2
      1332
      1360
  3.0  10.2   7.8   2.4
  3.4  48.6   5.5   2.1
  2.4  49.5  35.6   1.7
  1.8  34.2  18.5   2.3
  1.2  14.1  14.5   2.1
  2.8  17.0  87.1   2.5
  3.0  26.4  48.7   2.1
  1.1  34.6  47.8   2.4
  1.7  36.4  24.1   1.5
  1.8  11.8  54.1   2.1
  3.8  44.3  28.1   1.6
  4.8  10.7  89.9   2.2
  0.2   0.4   0.3   0.3   0.3   0.4 
    7   124    84   106    58    35    65   163    12   155   129    27 
  140   102    37    25    71   179    54    71    98     6   153   102 
  119   138    27   130    41   159   128   170   161   110   168   128 
  167   152   144    23    57   161   176    17     3    90    75   156 
   43   171    94     4    25     9   144     2    27   116    76   175 
  127    25    77   126    99   123    13    71   163    60   161   167 
  141    27     1   166   108    46   155   161    52     8    89    63 
  105    17    61    45    90   102    26    82    19   130    34    72 
   39    79     6    22    52    73    67   121    68    81   136   112 
   31   180   152    89    63    90   118    90    33   173    72    38 
  154   178     4   162    45     9   156    23     1    97    80   110 
   79   137    45    31    80   130   104   173    91   126    53    42 
 0.00  0.32 
 0.32  0.00 
