10 12
4
      2172
      3124
      2555
      2307
  3.4  33.7 542.6   1.9
  2.1  22.4 544.0   2.4
  1.4  33.2 483.4   2.0
  1.2  35.3  55.1   1.9
  3.1  11.1 520.3   2.3
  1.9  44.3 651.8   1.9
  2.8  47.1 168.3   1.5
  2.3  43.6 404.3   2.3
  3.5  17.0 380.1   2.3
  2.1  28.8 901.9   2.2
  4.6  49.9 509.9   1.8
  3.3  35.5 367.5   2.0
  4.2  13.4 375.7   2.4
  4.4  10.8 691.8   2.4
  4.2  17.3 331.1   1.8
  3.2  31.6 479.8   2.4
  1.8  41.0 387.2   1.8
  1.6  32.6  88.0   1.6
  4.0  40.6 432.2   2.3
  3.7  19.5 281.6   2.4
  2.2  30.9 857.9   2.2
  1.2  32.1 877.6   2.2
  1.6  22.2  81.7   2.1
  3.1  14.4 646.9   2.0
  3.0  40.3 782.1   2.4
  2.0  42.9 216.6   2.2
  1.9  37.9 906.0   2.3
  4.7  34.0 651.6   2.0
  4.7  38.8 858.9   2.1
  4.2  30.9 893.4   2.4
  2.6  22.3 860.8   2.0
  5.0  47.8 201.7   1.6
  1.4  14.0 244.9   2.5
  2.1  43.6 746.8   1.7
  2.7  35.8 566.6   1.6
  1.5  22.9 418.3   1.9
  1.2  27.5  94.4   2.0
  3.1  48.0 505.0   2.3
  1.4  30.1 526.6   2.5
  4.5  33.6 626.6   1.7
  0.2   0.4   0.4   0.4   0.3   0.3   0.3   0.3   0.3   0.4   0.2   0.4   0.3   0.3   0.3   0.4   0.2   0.2   0.3   0.2   0.3   0.2   0.4   0.4   0.3   0.3   0.3   0.2   0.3   0.3   0.4   0.2   0.4   0.3   0.3   0.3   0.4   0.4   0.3   0.3 
   57   166    20     9   122    30    65    78    87    12    61    79     8    14    19    10    84    97    89    82   103    92    20    32   151    44   132   124    99    17    74   126   180   123    61    55    45   136    20    14 
   92   136   154   139    21   169    99   167    16   149    63    76   102    82    50    10   169   149    42    38   173   159   106     3    53    71   176   135    13   174   104   157    89    63   109   107    42    64   117   156 
  133   118    15   100   103    51   121     8   141   169    55    13   161    65    38    65   104   176   115   180    65    86    33   103    44    68    12    64   107   137   147   145   139   121   159   115   145   175   147    16 
   17    24   114    22    84    93   115   112    15   165   106    24   109   164   171   130   173   115   108   117   129    43   143   136    88    86   169   172   122     3    42    98   178   107    75    86    72    44   118   106 
  137    36   150    58   177   173    62    93    26    72    27   146    20    54    20   102   174    38     1    89    29    44   100    39    53    13    95   129    26   129   176   135   118    58    52   174    49    98   108    71 
  119   108   131   157    69    42   103    78    52    86    50    25    17     6   160   137   166   116    67    81   109   159    20   180    29   158    95    39   169    14    41   163   144    35   116    20   114    75   114    75 
   67    64   152   161   168   143    71    30     6   104   179   147    19    41   177    89   170   152    29    63    91    66    83    99    42    58    87   151    79   116    52    19    73    57   130   119   113   158    48   118 
    9    58    83   162   174   175    29    25   170   110   122    97   105   160    81   114    18    11    45   136   131    34   171   159   108   169   169   157   172    37   108   116    82    22     7    13    47   100     7    34 
  124    10    51    66    26    59    69    77    13   158   147   136   160   136    50    38   132   107    67    45    61    49   157   177    18    13   134   139    44    41    92    50   126     1    58   119    98   153   173    32 
  155    38    48    82   126    88   170    75    12     9    64    49   143    24   120    20   155    46   139   105   133   160   108   103    41     4   168   164    22    43     4    15    34    98   164     2   170    34    77    72 
   31    97   147   116   160   179    92   117    23     1    98   179   142     6    57   106    92   174    45    40    21   135   139    21   114    17    33   173    72    44    18   145    43   137    76    56    50    59   174   152 
   83    15   148   127    73   132    67   141   165    20     4    26     2   136   105    21    22   117    14   113    90   132    59   100    96    45   166    45    34   135   152   177    65    47    10    70   178    29   150   140 
 0.00  0.39  0.37  0.40 
 0.39  0.00  0.30  0.32 
 0.37  0.30  0.00  0.30 
 0.40  0.32  0.30  0.00 
