10 12
6
      2695
      2737
      2578
      2541
      2797
      2342
  1.5  14.2 419.5   2.0
  3.6  37.9 877.2   1.7
  1.7  30.0 515.1   1.5
  3.1  11.1 643.2   2.4
  4.6  29.9 169.8   1.8
  3.7  10.8 291.4   2.5
  4.5  37.4 633.2   1.6
  3.0  36.6 748.8   2.1
  1.2  21.5 850.4   2.4
  4.3  31.3 752.2   1.7
  1.4  23.9 333.1   1.8
  2.0  33.2 924.4   2.5
  3.9  38.6 709.3   2.2
  1.5  42.9 124.3   2.5
  4.2  39.5 196.5   2.4
  4.8  18.8 393.7   2.0
  1.3  15.5 829.7   2.5
  4.6  22.7 874.0   1.6
  3.6  27.6 685.2   2.1
  3.3  26.7 154.4   1.5
  4.7  15.0 791.0   2.4
  2.1  12.2 261.2   2.0
  2.5  10.5 274.8   1.7
  1.4  23.4 896.3   1.6
  2.9  28.9 461.5   2.0
  1.2  42.9  73.6   1.6
  3.4  33.6 617.7   2.2
  3.3  32.0 546.2   1.5
  4.9  32.9  59.9   2.3
  3.2  14.2 535.7   1.6
  3.3  33.2 620.1   2.1
  4.9  35.3 570.9   2.1
  1.3  14.2 519.6   1.5
  1.6  27.7  71.8   2.1
  5.0  47.6 407.3   1.7
  2.7  12.3 750.5   2.1
  2.7  22.4 679.7   1.8
  2.5  29.7 615.6   2.3
  4.5  19.1  71.4   1.6
  1.4  13.0 945.3   2.3
  3.6  42.4 702.7   2.1
  1.7  34.9 852.1   2.3
  3.6  17.0 684.2   2.4
  3.7  40.8 846.8   2.2
  3.4  34.7 231.7   2.5
  2.6  19.2 576.2   1.8
  2.5  25.7 226.5   1.9
  4.5  28.2 898.9   1.8
  1.9  46.1 105.8   2.4
  3.7  21.9 343.5   2.3
  2.0  43.1 337.8   2.2
  2.9  12.1 450.2   1.6
  2.2  16.6 770.5   2.1
  4.6  21.4 127.6   1.8
  1.9  45.1 132.4   1.8
  1.3  32.0 100.2   1.6
  2.5  13.0 799.2   2.1
  3.7  16.6 137.4   1.9
  2.2  41.7 140.8   2.1
  3.1  39.1 653.5   2.1
